"","topic","gamma","id"
"730",9,0.99866,5496
"731",12,0.86607,5497
"732",11,0.89074,5504
"733",7,0.47725,5508
"734",9,0.89893,5524
"735",6,0.99782,5531
"736",12,0.46725,5538
"737",11,0.99866,5543
"738",6,0.75652,5546
"739",12,0.94597,5548
"740",11,0.52928,5552
"741",7,0.94854,5555
"742",7,0.62972,5556
"743",6,0.99752,5571
"744",7,0.99907,5574
"745",3,0.71442,5579
"746",8,0.70434,5588
"747",8,0.97826,5592
"748",11,0.79705,5599
"749",8,0.88876,5618
"750",5,0.57056,5623
"751",8,0.77037,5625
"752",12,0.86214,5630
"753",12,0.60171,5637
"754",6,0.99523,5649
"755",7,0.74639,5656
"756",9,0.55174,5660
"757",9,0.4073,5667
"758",9,0.54738,5670
"759",4,0.84039,5675
"760",10,0.9457,5678
"761",8,0.93425,5722
"762",7,0.90681,5724
"763",12,0.91471,5726
"764",2,0.99886,5728
"765",2,0.94006,5735
"766",8,0.40482,5743
"767",4,0.86606,5751
"768",5,0.43987,5754
"769",11,0.99682,5755
"770",3,0.56972,5761
"771",12,0.99705,5764
"772",2,0.44417,5769
"773",4,0.69711,5783
"774",11,0.51225,5788
"775",11,0.95094,5798
"776",8,0.74759,5805
"777",10,0.52056,5806
"778",7,0.53492,5829
"779",6,0.57548,5830
"780",7,0.74619,5833
"781",6,0.55549,5836
"782",6,0.70074,5838
"783",12,0.66256,5848
"784",11,0.74703,5889
"785",3,0.779,5896
"786",1,0.6062,5897
"787",4,0.86476,5901
"788",12,0.90853,5911
"789",12,0.68288,5916
"790",9,0.43529,5925
"791",1,0.99895,5938
"792",2,0.50639,5947
"793",9,0.70454,5949
"794",9,0.99839,5951
"795",11,0.99882,5954
"796",4,0.90851,5958
"797",10,0.5324,5959
"798",10,0.44959,5963
"799",4,0.55039,5971
"800",2,0.96355,5973
"801",1,0.43444,5999
"802",6,0.99657,6013
"803",6,0.90641,6021
"804",5,0.62614,6035
"805",6,0.99691,6036
"806",3,0.95278,6043
"807",7,0.84841,6046
"808",10,0.99905,6047
"809",1,0.56535,6063
"810",11,0.41366,6065
"811",3,0.99926,6074
"812",11,0.65334,6089
"813",2,0.85355,6091
"814",4,0.67974,6098
"815",2,0.67608,6102
"816",6,0.93126,6107
"817",11,0.98991,6123
"818",12,0.9962,6131
"819",3,0.99888,6136
"820",3,0.60266,6137
"821",11,0.99735,6171
"822",8,0.99611,6174
"823",9,0.73121,6182
"824",10,0.61171,6183
"825",11,0.80944,6202
"826",6,0.98427,6209
"827",2,0.93644,6228
"828",10,0.49536,6230
"829",4,0.31289,6236
"830",7,0.85019,6238
"831",5,0.67392,6257
"832",12,0.635,6258
"833",4,0.90517,6266
"834",12,0.99869,6271
"835",12,0.92661,6292
"836",9,0.52438,6301
"837",4,0.42645,6313
"838",8,0.98398,6317
"839",9,0.58539,6327
"840",9,0.67648,6333
"841",9,0.88141,6343
"842",9,0.80469,6351
"843",3,0.92252,6365
"844",9,0.61385,6369
"845",12,0.91974,6371
"846",9,0.4882,6382
"847",6,0.99508,6389
"848",10,0.35675,6391
"849",7,0.83486,6396
"850",12,0.56857,6404
"851",10,0.40242,6417
"852",9,0.42698,6434
"853",6,0.96268,6445
"854",9,0.51126,6449
"855",9,0.47686,6457
"856",8,0.99836,6458
"857",6,0.5942,6460
"858",1,0.78758,6463
"859",9,0.60317,6464
"860",12,0.93641,6471
"861",2,0.81406,6473
"862",9,0.68677,6478
"863",10,0.93577,6485
"864",6,0.72731,6513
"865",2,0.99917,6515
"866",9,0.83709,6518
"867",3,0.51581,6531
"868",4,0.99418,6540
"869",8,0.99537,6547
"870",6,0.99665,6579
"871",10,0.79105,6586
"872",2,0.49969,6612
"873",4,0.57302,6615
"874",12,0.99845,6621
"875",6,0.99476,6635
"876",9,0.57597,6638
"877",11,0.99878,6646
"878",11,0.99839,6650
"879",3,0.4452,6665
"880",9,0.4002,6669
"881",6,0.99893,6671
